Date,Time,heart rate variability
2025.11.04 03:55:40,03:55:40,52.0
2025.11.04 04:00:40,04:00:40,81.0
2025.11.04 04:05:40,04:05:40,70.0
2025.11.04 04:10:40,04:10:40,68.0
2025.11.04 04:15:40,04:15:40,70.0
2025.11.04 04:20:40,04:20:40,72.0
2025.11.04 04:25:40,04:25:40,83.0
2025.11.04 04:30:40,04:30:40,64.0
2025.11.04 04:35:40,04:35:40,57.0
2025.11.04 04:40:40,04:40:40,79.0
2025.11.04 04:45:40,04:45:40,54.0
2025.11.04 04:50:40,04:50:40,54.0
2025.11.04 04:55:40,04:55:40,55.0
2025.11.04 05:00:40,05:00:40,57.0
2025.11.04 05:05:40,05:05:40,72.0
2025.11.04 05:10:40,05:10:40,69.0
2025.11.04 05:15:40,05:15:40,72.0
2025.11.04 05:20:40,05:20:40,83.0
2025.11.04 05:25:40,05:25:40,52.0
2025.11.04 05:30:40,05:30:40,42.0
2025.11.04 05:35:40,05:35:40,40.0
2025.11.04 05:40:40,05:40:40,71.0
2025.11.04 05:45:40,05:45:40,57.0
2025.11.04 05:50:40,05:50:40,57.0
2025.11.04 05:55:40,05:55:40,43.0
2025.11.04 06:00:40,06:00:40,48.0
2025.11.04 06:05:40,06:05:40,54.0
2025.11.04 06:10:40,06:10:40,50.0
2025.11.04 06:15:40,06:15:40,63.0
2025.11.04 06:20:40,06:20:40,76.0
2025.11.04 06:25:40,06:25:40,67.0
2025.11.04 06:30:40,06:30:40,74.0
2025.11.04 06:35:40,06:35:40,71.0
2025.11.04 06:40:40,06:40:40,73.0
2025.11.04 06:45:40,06:45:40,93.0
2025.11.04 06:50:40,06:50:40,103.0
2025.11.04 06:55:40,06:55:40,92.0
2025.11.04 07:00:40,07:00:40,75.0
2025.11.04 07:05:40,07:05:40,65.0
2025.11.04 07:10:40,07:10:40,60.0
2025.11.04 07:15:40,07:15:40,60.0
2025.11.04 07:20:40,07:20:40,58.0
2025.11.04 07:25:40,07:25:40,57.0
2025.11.04 07:30:40,07:30:40,76.0
2025.11.04 07:35:40,07:35:40,71.0
2025.11.04 07:40:40,07:40:40,56.0
2025.11.04 07:45:40,07:45:40,74.0
2025.11.04 07:50:40,07:50:40,82.0
2025.11.04 07:55:40,07:55:40,72.0
2025.11.04 08:00:40,08:00:40,64.0
2025.11.04 08:05:40,08:05:40,73.0
2025.11.04 08:10:40,08:10:40,82.0
2025.11.04 08:15:40,08:15:40,73.0
2025.11.04 08:20:40,08:20:40,60.0
2025.11.04 08:25:40,08:25:40,39.0
2025.11.04 21:50:39,21:50:39,50.0
2025.11.04 21:55:39,21:55:39,49.0
2025.11.04 22:00:39,22:00:39,53.0
2025.11.04 22:05:39,22:05:39,54.0
2025.11.04 22:10:39,22:10:39,49.0
2025.11.04 22:15:39,22:15:39,54.0
2025.11.04 22:20:39,22:20:39,52.0
2025.11.04 22:25:39,22:25:39,60.0
2025.11.04 22:30:39,22:30:39,43.0
2025.11.04 22:35:39,22:35:39,39.0
2025.11.04 22:40:39,22:40:39,39.0
2025.11.04 22:45:39,22:45:39,48.0
2025.11.04 22:50:39,22:50:39,52.0
2025.11.04 22:55:39,22:55:39,49.0
2025.11.04 23:00:39,23:00:39,53.0
2025.11.04 23:05:39,23:05:39,63.0
2025.11.04 23:10:39,23:10:39,50.0
2025.11.04 23:15:39,23:15:39,53.0
2025.11.04 23:20:39,23:20:39,53.0
2025.11.04 23:25:39,23:25:39,60.0
2025.11.04 23:30:39,23:30:39,48.0
2025.11.04 23:35:39,23:35:39,54.0
2025.11.04 23:40:39,23:40:39,38.0
2025.11.04 23:45:39,23:45:39,35.0
2025.11.04 23:50:39,23:50:39,48.0
2025.11.04 23:55:39,23:55:39,59.0
2025.11.05 00:00:39,00:00:39,45.0
2025.11.05 00:05:39,00:05:39,54.0
2025.11.05 00:10:39,00:10:39,52.0
2025.11.05 00:15:39,00:15:39,67.0
2025.11.05 00:20:39,00:20:39,59.0
2025.11.05 00:25:39,00:25:39,56.0
2025.11.05 00:30:39,00:30:39,76.0
2025.11.05 00:35:39,00:35:39,56.0
2025.11.05 00:40:39,00:40:39,62.0
2025.11.05 00:45:39,00:45:39,64.0
2025.11.05 00:50:39,00:50:39,59.0
2025.11.05 00:55:39,00:55:39,62.0
2025.11.05 01:00:39,01:00:39,69.0
2025.11.05 01:05:39,01:05:39,68.0
2025.11.05 01:10:39,01:10:39,61.0
2025.11.05 01:15:39,01:15:39,65.0
2025.11.05 01:20:39,01:20:39,59.0
2025.11.05 01:25:39,01:25:39,60.0
2025.11.05 01:30:39,01:30:39,70.0
2025.11.05 01:35:39,01:35:39,67.0
2025.11.05 01:40:39,01:40:39,69.0
2025.11.05 01:45:39,01:45:39,53.0
2025.11.05 01:50:39,01:50:39,44.0
2025.11.05 01:55:39,01:55:39,46.0
2025.11.05 02:00:39,02:00:39,31.0
2025.11.05 02:05:39,02:05:39,39.0
2025.11.05 02:10:39,02:10:39,63.0
2025.11.05 02:15:39,02:15:39,62.0
2025.11.05 02:20:39,02:20:39,65.0
2025.11.05 02:25:39,02:25:39,87.0
2025.11.05 02:30:39,02:30:39,69.0
2025.11.05 02:35:39,02:35:39,59.0
2025.11.05 02:40:39,02:40:39,52.0
2025.11.05 02:45:39,02:45:39,52.0
2025.11.05 02:50:39,02:50:39,50.0
2025.11.05 02:55:39,02:55:39,49.0
2025.11.05 03:00:39,03:00:39,52.0
2025.11.05 03:05:39,03:05:39,52.0
2025.11.05 03:10:39,03:10:39,69.0
2025.11.05 03:15:39,03:15:39,62.0
2025.11.05 03:20:39,03:20:39,31.0
2025.11.05 03:25:39,03:25:39,33.0
2025.11.05 03:30:39,03:30:39,68.0
2025.11.05 03:35:39,03:35:39,63.0
2025.11.05 03:40:39,03:40:39,62.0
2025.11.05 03:45:39,03:45:39,56.0
2025.11.05 03:50:39,03:50:39,53.0
2025.11.05 03:55:39,03:55:39,45.0
2025.11.05 04:00:39,04:00:39,50.0
2025.11.05 04:05:39,04:05:39,67.0
2025.11.05 04:10:39,04:10:39,56.0
2025.11.05 04:15:39,04:15:39,67.0
2025.11.05 04:20:39,04:20:39,51.0
2025.11.05 04:25:39,04:25:39,39.0
2025.11.05 04:30:39,04:30:39,82.0
2025.11.05 04:35:39,04:35:39,60.0
2025.11.05 04:40:39,04:40:39,58.0
2025.11.05 04:45:39,04:45:39,65.0
2025.11.05 04:50:39,04:50:39,71.0
2025.11.05 04:55:39,04:55:39,77.0
2025.11.05 05:00:39,05:00:39,64.0
2025.11.05 05:10:39,05:10:39,86.0
2025.11.05 05:15:39,05:15:39,76.0
2025.11.05 05:20:39,05:20:39,63.0
2025.11.05 05:25:39,05:25:39,59.0
2025.11.05 05:30:39,05:30:39,62.0
2025.11.05 05:35:39,05:35:39,71.0
2025.11.05 05:40:39,05:40:39,70.0
2025.11.05 05:45:39,05:45:39,59.0
2025.11.05 05:50:39,05:50:39,58.0
2025.11.05 05:55:39,05:55:39,55.0
2025.11.05 06:00:39,06:00:39,70.0
2025.11.05 06:05:39,06:05:39,69.0
2025.11.05 06:10:39,06:10:39,71.0
2025.11.05 06:15:39,06:15:39,69.0
2025.11.05 06:20:39,06:20:39,62.0
2025.11.05 06:25:39,06:25:39,58.0
2025.11.05 06:30:39,06:30:39,62.0
2025.11.06 03:00:39,03:00:39,71.0
2025.11.06 03:05:39,03:05:39,74.0
2025.11.06 03:10:39,03:10:39,63.0
2025.11.06 03:15:39,03:15:39,62.0
2025.11.06 03:20:39,03:20:39,64.0
2025.11.06 03:25:39,03:25:39,57.0
2025.11.06 03:30:39,03:30:39,57.0
2025.11.06 03:35:39,03:35:39,58.0
2025.11.06 03:40:39,03:40:39,56.0
2025.11.06 03:45:39,03:45:39,56.0
2025.11.06 03:50:39,03:50:39,53.0
2025.11.06 03:55:39,03:55:39,59.0
2025.11.06 04:00:39,04:00:39,76.0
2025.11.06 04:05:39,04:05:39,83.0
2025.11.06 04:10:39,04:10:39,77.0
2025.11.06 04:15:39,04:15:39,77.0
2025.11.06 04:20:39,04:20:39,85.0
2025.11.06 04:25:39,04:25:39,81.0
2025.11.06 04:30:39,04:30:39,63.0
2025.11.06 04:35:39,04:35:39,55.0
2025.11.06 04:40:39,04:40:39,77.0
