Date,Time,Steps,Source
2024.11.11 20.45,20.45,46,nl.appyhapps.healthsync
2024.11.11 21.00,21.00,24,nl.appyhapps.healthsync
2024.11.12 05.30,05.30,156,nl.appyhapps.healthsync
2024.11.12 05.45,05.45,34,nl.appyhapps.healthsync
2024.11.12 06.00,06.00,9,nl.appyhapps.healthsync
2024.11.12 06.15,06.15,299,nl.appyhapps.healthsync
2024.11.12 06.30,06.30,300,nl.appyhapps.healthsync
2024.11.12 06.45,06.45,64,nl.appyhapps.healthsync
2024.11.12 07.00,07.00,28,nl.appyhapps.healthsync
2024.11.12 07.15,07.15,485,nl.appyhapps.healthsync
2024.11.12 07.30,07.30,304,nl.appyhapps.healthsync
2024.11.12 07.45,07.45,539,nl.appyhapps.healthsync
2024.11.12 08.00,08.00,189,nl.appyhapps.healthsync
2024.11.12 09.00,09.00,235,nl.appyhapps.healthsync
2024.11.12 09.15,09.15,142,nl.appyhapps.healthsync
2024.11.12 09.30,09.30,39,nl.appyhapps.healthsync
2024.11.12 09.45,09.45,183,nl.appyhapps.healthsync
2024.11.12 10.00,10.00,141,nl.appyhapps.healthsync
2024.11.12 10.30,10.30,12,nl.appyhapps.healthsync
2024.11.12 11.15,11.15,92,nl.appyhapps.healthsync
2024.11.12 11.30,11.30,134,nl.appyhapps.healthsync
2024.11.12 13.30,13.30,131,nl.appyhapps.healthsync
2024.11.12 13.45,13.45,65,nl.appyhapps.healthsync
2024.11.12 14.00,14.00,652,nl.appyhapps.healthsync
2024.11.12 14.15,14.15,617,nl.appyhapps.healthsync
2024.11.12 14.30,14.30,718,nl.appyhapps.healthsync
2024.11.12 15.30,15.30,17,nl.appyhapps.healthsync
2024.11.12 15.45,15.45,20,nl.appyhapps.healthsync
2024.11.12 16.00,16.00,21,nl.appyhapps.healthsync
2024.11.12 16.15,16.15,746,nl.appyhapps.healthsync
2024.11.12 16.30,16.30,30,nl.appyhapps.healthsync
2024.11.12 17.00,17.00,174,nl.appyhapps.healthsync
2024.11.12 17.15,17.15,166,nl.appyhapps.healthsync
2024.11.12 17.30,17.30,293,nl.appyhapps.healthsync
2024.11.12 17.45,17.45,199,nl.appyhapps.healthsync
2024.11.12 18.00,18.00,73,nl.appyhapps.healthsync
2024.11.12 18.15,18.15,333,nl.appyhapps.healthsync
2024.11.12 18.30,18.30,122,nl.appyhapps.healthsync
2024.11.12 18.45,18.45,31,nl.appyhapps.healthsync
2024.11.12 19.00,19.00,52,nl.appyhapps.healthsync
2024.11.12 19.30,19.30,38,nl.appyhapps.healthsync
2024.11.12 19.45,19.45,19,nl.appyhapps.healthsync
2024.11.12 20.00,20.00,31,nl.appyhapps.healthsync
2024.11.12 20.15,20.15,190,nl.appyhapps.healthsync
2024.11.12 22.15,22.15,10,nl.appyhapps.healthsync
2024.11.12 22.30,22.30,9,nl.appyhapps.healthsync
2024.11.12 23.15,23.15,15,nl.appyhapps.healthsync
2024.11.13 05.15,05.15,201,nl.appyhapps.healthsync
2024.11.13 05.30,05.30,146,nl.appyhapps.healthsync
2024.11.13 05.45,05.45,42,nl.appyhapps.healthsync
2024.11.13 06.00,06.00,84,nl.appyhapps.healthsync
2024.11.13 06.15,06.15,45,nl.appyhapps.healthsync
2024.11.13 06.30,06.30,14,nl.appyhapps.healthsync
2024.11.13 06.45,06.45,1567,nl.appyhapps.healthsync
2024.11.13 07.00,07.00,2152,nl.appyhapps.healthsync
2024.11.13 07.15,07.15,2289,nl.appyhapps.healthsync
2024.11.13 07.30,07.30,1830,nl.appyhapps.healthsync
2024.11.13 08.00,08.00,133,nl.appyhapps.healthsync
2024.11.13 08.15,08.15,23,nl.appyhapps.healthsync
2024.11.13 08.30,08.30,13,nl.appyhapps.healthsync
2024.11.13 08.45,08.45,49,nl.appyhapps.healthsync
2024.11.13 09.00,09.00,35,nl.appyhapps.healthsync
2024.11.13 09.45,09.45,102,nl.appyhapps.healthsync
2024.11.13 10.00,10.00,34,nl.appyhapps.healthsync
2024.11.13 10.30,10.30,18,nl.appyhapps.healthsync
2024.11.13 11.15,11.15,61,nl.appyhapps.healthsync
2024.11.13 11.30,11.30,23,nl.appyhapps.healthsync
2024.11.13 11.45,11.45,57,nl.appyhapps.healthsync
2024.11.13 12.00,12.00,15,nl.appyhapps.healthsync
2024.11.13 12.15,12.15,102,nl.appyhapps.healthsync
2024.11.13 12.30,12.30,44,nl.appyhapps.healthsync
2024.11.13 12.45,12.45,14,nl.appyhapps.healthsync
2024.11.13 13.30,13.30,24,nl.appyhapps.healthsync
2024.11.13 13.45,13.45,18,nl.appyhapps.healthsync
2024.11.13 14.15,14.15,27,nl.appyhapps.healthsync
2024.11.13 15.30,15.30,20,nl.appyhapps.healthsync
2024.11.13 15.45,15.45,56,nl.appyhapps.healthsync
2024.11.13 16.45,16.45,117,nl.appyhapps.healthsync
2024.11.13 17.00,17.00,75,nl.appyhapps.healthsync
2024.11.13 17.30,17.30,11,nl.appyhapps.healthsync
2024.11.13 17.45,17.45,19,nl.appyhapps.healthsync
2024.11.13 18.00,18.00,31,nl.appyhapps.healthsync
2024.11.13 18.15,18.15,29,nl.appyhapps.healthsync
2024.11.13 18.30,18.30,68,nl.appyhapps.healthsync
2024.11.13 19.15,19.15,23,nl.appyhapps.healthsync
2024.11.13 19.30,19.30,83,nl.appyhapps.healthsync
2024.11.13 19.45,19.45,67,nl.appyhapps.healthsync
2024.11.13 20.00,20.00,87,nl.appyhapps.healthsync
2024.11.13 20.15,20.15,4,nl.appyhapps.healthsync
2024.11.13 20.30,20.30,154,nl.appyhapps.healthsync
2024.11.13 20.45,20.45,74,nl.appyhapps.healthsync
2024.11.14 02.15,02.15,17,nl.appyhapps.healthsync
2024.11.14 03.15,03.15,7,nl.appyhapps.healthsync
2024.11.14 03.45,03.45,9,nl.appyhapps.healthsync
2024.11.14 05.15,05.15,111,nl.appyhapps.healthsync
2024.11.14 05.30,05.30,20,nl.appyhapps.healthsync
2024.11.14 06.00,06.00,76,nl.appyhapps.healthsync
2024.11.14 06.15,06.15,87,nl.appyhapps.healthsync
2024.11.14 07.00,07.00,90,nl.appyhapps.healthsync
2024.11.14 07.30,07.30,112,nl.appyhapps.healthsync
2024.11.14 07.45,07.45,149,nl.appyhapps.healthsync
2024.11.14 08.00,08.00,49,nl.appyhapps.healthsync
2024.11.14 08.15,08.15,276,nl.appyhapps.healthsync
2024.11.14 08.30,08.30,313,nl.appyhapps.healthsync
2024.11.14 08.45,08.45,307,nl.appyhapps.healthsync
2024.11.14 09.00,09.00,107,nl.appyhapps.healthsync
2024.11.14 09.15,09.15,179,nl.appyhapps.healthsync
2024.11.14 09.30,09.30,24,nl.appyhapps.healthsync
2024.11.14 10.00,10.00,304,nl.appyhapps.healthsync
2024.11.14 10.15,10.15,42,nl.appyhapps.healthsync
2024.11.14 10.30,10.30,9,nl.appyhapps.healthsync
2024.11.14 10.45,10.45,525,nl.appyhapps.healthsync
2024.11.14 11.00,11.00,768,nl.appyhapps.healthsync
2024.11.14 11.30,11.30,330,nl.appyhapps.healthsync
2024.11.14 11.45,11.45,260,nl.appyhapps.healthsync
2024.11.14 12.00,12.00,8,nl.appyhapps.healthsync
2024.11.14 13.00,13.00,319,nl.appyhapps.healthsync
2024.11.14 13.15,13.15,104,nl.appyhapps.healthsync
2024.11.14 13.30,13.30,434,nl.appyhapps.healthsync
2024.11.14 14.00,14.00,383,nl.appyhapps.healthsync
2024.11.14 14.15,14.15,302,nl.appyhapps.healthsync
2024.11.14 14.30,14.30,199,nl.appyhapps.healthsync
2024.11.14 14.45,14.45,190,nl.appyhapps.healthsync
2024.11.14 15.00,15.00,355,nl.appyhapps.healthsync
2024.11.14 15.15,15.15,118,nl.appyhapps.healthsync
2024.11.14 16.00,16.00,271,nl.appyhapps.healthsync
2024.11.14 16.15,16.15,13,nl.appyhapps.healthsync
2024.11.14 17.15,17.15,11,nl.appyhapps.healthsync
2024.11.14 18.15,18.15,38,nl.appyhapps.healthsync
2024.11.14 18.45,18.45,243,nl.appyhapps.healthsync
2024.11.14 19.00,19.00,140,nl.appyhapps.healthsync
2024.11.14 19.15,19.15,220,nl.appyhapps.healthsync
2024.11.14 19.30,19.30,137,nl.appyhapps.healthsync
2024.11.14 19.45,19.45,23,nl.appyhapps.healthsync
2024.11.14 20.15,20.15,51,nl.appyhapps.healthsync
2024.11.14 20.30,20.30,9,nl.appyhapps.healthsync
2024.11.14 20.45,20.45,20,nl.appyhapps.healthsync
2024.11.14 21.15,21.15,169,nl.appyhapps.healthsync
2024.11.14 21.30,21.30,121,nl.appyhapps.healthsync
2024.11.14 21.45,21.45,14,nl.appyhapps.healthsync
2024.11.15 01.30,01.30,6,nl.appyhapps.healthsync
2024.11.15 05.30,05.30,8,nl.appyhapps.healthsync
2024.11.15 07.45,07.45,68,nl.appyhapps.healthsync
